AccType,ClientId,BeginDate,EndDate,BeginQ,EndQ,PD,LGD,"Interest rate",Status,Random,"Default function"
L,1,1,71,5700,5813.05,0.02,0.5,0.0714,Active,0.14,0.142828187603746
L,2,1,81,10000,10681.9,0.19,0.6,0.2148,Active,0.05,0.0604624798828626
L,3,1,101,3900,4018.55,0.06,0.2,0.0766,Active,0.48,0.509681542341773
L,4,1,51,2200,2248.5,0.1,0.4,0.1111,Active,0.46,0.508378622314798
L,5,1,71,8200,8597.93,0.17,0.5,0.1747,Active,0.34,0.403003649448924
L,6,1,71,100,102.21,0.07,0.2,0.0796,Active,0.2,0.214501636250843
L,7,1,51,600,612.94,0.08,0.5,0.1087,Active,0.33,0.357484732332736
L,8,1,21,6400,6467.71,0.1,0.6,0.1333,Active,0.57,0.629947423303119
L,9,1,151,6800,7110.05,0.06,0.2,0.0766,Active,0.14,0.14865711651635
L,10,1,51,600,632.74,0.2,0.8,0.275,Active,0.63,0.769483737640907
L,11,1,151,2300,2455.8,0.13,0.3,0.1138,Active,0.68,0.774403300660743
L,12,1,101,5900,6067.17,0.02,0.5,0.0714,Active,0.74,0.754948991619799
L,13,1,141,7700,8331.4,0.16,0.4,0.1476,Active,0.6,0.704106522595086
L,14,1,91,5400,5744.64,0.11,0.9,0.1787,Active,0.6,0.669766842275323
L,15,1,41,6300,6363.6,0.01,0.3,0.0636,Active,0.4,0.404020066833667
L,16,1,31,900,906.71,0.01,0.2,0.0626,Active,0.08,0.0808040133667334
L,17,1,31,700,705.56,0.01,0.6,0.0667,Active,0.54,0.545427090225451
L,18,1,21,2300,2323.58,0.11,0.5,0.1292,Active,0.53,0.591627377343202
L,19,1,151,6400,6749.33,0.04,0.7,0.0917,Active,0.09,0.0936729696773149
L,20,1,71,1600,1658.8,0.07,0.9,0.1323,Active,0.36,0.386102945251518
L,21,1,141,9300,9762.42,0.05,0.5,0.0895,Active,0.42,0.44153386047793
L,22,1,71,5700,5835.69,0.09,0.2,0.0857,Active,0.25,0.273543570926303
L,23,1,151,800,855.67,0.11,0.4,0.1169,Active,0.01,0.0111627807045887
L,24,1,51,100,102.55,0.16,0.3,0.1286,Active,0.44,0.516344783236397
L,65,2,42,500,505.37,0.01,0.7,0.0677,Active,0.65,0.656532608604709
L,66,2,42,300,303.68,0.03,0.5,0.0773,Active,0.3,0.309136360186055
L,67,2,122,5200,5574.4,0.14,0.5,0.1512,Active,0.79,0.90871630109721
L,68,2,102,6900,7322.21,0.17,0.4,0.1542,Active,0.67,0.794154250384645
L,69,2,142,6500,6829.69,0.08,0.3,0.0913,Active,0.14,0.151660189474494
L,70,2,112,2200,2361.24,0.19,0.4,0.1679,Active,0.88,1.06413964593838
L,71,2,82,4100,4181.48,0.01,0.2,0.0626,Active,0.06,0.0606030100250501
L,72,2,152,3000,3170.89,0.06,0.5,0.0957,Active,0.53,0.562773369669041
L,73,2,102,6100,6447.85,0.13,0.5,0.1437,Active,0.06,0.0683297029994773
L,74,2,42,4000,4052.89,0.04,0.5,0.0833,Active,0.37,0.385099986451184
L,75,2,52,6100,6181.45,0.02,0.3,0.0673,Active,0.55,0.561110737014716
L,76,2,22,1100,1112.61,0.1,0.7,0.1444,Active,0.58,0.640999132483876
L,77,2,122,4400,4557.14,0.04,0.3,0.075,Active,0.04,0.0416324309676955
L,78,2,72,9700,10104.17,0.12,0.6,0.15,Active,0.37,0.417173835084369
L,79,2,152,4700,5112.93,0.16,0.4,0.1476,Active,0.53,0.621960761625659
L,80,2,62,4600,4686.41,0.05,0.3,0.0789,Active,0.7,0.735889767463217
L,81,2,32,5600,5673,0.16,0.2,0.1095,Active,0.29,0.340318152587625
L,82,2,102,3500,3713.75,0.11,0.7,0.1539,Active,0.6,0.669766842275323
L,83,2,62,3100,3158.46,0.04,0.4,0.0792,Active,0.4,0.416324309676955
L,84,2,42,3100,3165.79,0.17,0.3,0.1337,Active,0.12,0.142236582158444
L,85,2,52,8000,8113.33,0.02,0.5,0.0714,Active,0.96,0.979393286425685
L,86,2,92,3400,3508.68,0.05,0.5,0.0895,Active,0.11,0.115639820601363
L,87,2,122,7000,7449.67,0.14,0.4,0.1349,Active,0.63,0.724672493280053
L,88,2,52,5200,5285.63,0.06,0.3,0.083,Active,0.38,0.403497887687237
L,89,2,92,7500,8035.71,0.2,0.5,0.2,Active,0.13,0.158782358560822
L,90,2,52,3400,3482.44,0.1,0.5,0.1222,Active,0.8,0.884136734460518
L,91,2,92,6400,6688.23,0.08,0.7,0.1261,Active,0.18,0.194991672181493
L,92,2,132,2000,2148.98,0.19,0.3,0.1444,Active,0.38,0.459514847109756
L,93,2,82,3400,3538.81,0.16,0.3,0.1286,Active,0.46,0.539815000656233
L,94,2,122,8600,9419.05,0.14,0.8,0.2,Active,0.2,0.230054759771445
L,95,2,112,8200,8825.32,0.17,0.5,0.1747,Active,0.94,1.11418656024114
L,96,2,72,2300,2353.22,0.04,0.5,0.0833,Active,0.77,0.801424296128139
L,97,2,152,600,624.79,0.02,0.4,0.0694,Active,0.78,0.79575704522087
L,98,2,32,6100,6162.23,0.09,0.2,0.0857,Active,0.78,0.853455941290064
L,99,2,32,7300,7430.36,0.12,0.6,0.15,Active,0.43,0.484823646179132
L,100,2,142,900,972.2,0.19,0.3,0.1444,Active,0.97,1.17297210972753
L,101,2,32,1200,1212.77,0.06,0.4,0.0894,Active,0.91,0.966271257356277
L,102,2,62,7200,7312.63,0.01,0.5,0.0657,Active,0.03,0.030301505012525
L,103,2,152,2200,2297.17,0.03,0.4,0.0742,Active,0.12,0.123654544074422
L,104,2,122,4800,5080.46,0.12,0.4,0.1227,Active,0.18,0.202949433284288
L,105,2,72,7300,7545.36,0.19,0.2,0.121,Active,0.36,0.435329855156611
L,106,2,42,400,406.35,0.1,0.3,0.1,Active,0.87,0.961498698725814
L,107,2,112,8700,9269.64,0.2,0.3,0.15,Active,0.21,0.256494579213636
L,108,2,32,2400,2461.37,0.19,0.6,0.2148,Active,0.16,0.19347993562516
L,109,2,112,2200,2264.63,0.02,0.3,0.0673,Active,0.52,0.530504696813913
L,110,2,112,2100,2190.66,0.13,0.2,0.0989,Active,0.92,1.04772211265865
L,111,2,32,2000,2041.6,0.17,0.5,0.1747,Active,0.99,1.17345180280716
L,112,2,122,300,316.49,0.09,0.5,0.1154,Active,0.12,0.131300914044625
L,206,3,113,1900,1976.38,0.11,0.2,0.0921,Active,0.69,0.770231868616621
L,207,3,33,5300,5379.06,0.09,0.6,0.1253,Active,0.33,0.361077513622719
L,208,3,43,100,102.67,0.19,0.4,0.1679,Active,0.22,0.266034911484595
L,209,3,153,1300,1383.96,0.06,0.7,0.1085,Active,0.08,0.0849469237236288
L,210,3,123,7900,8468.8,0.14,0.5,0.1512,Active,0.93,1.06975463293722
L,211,3,63,5100,5196.66,0.07,0.2,0.0796,Active,0.58,0.622054745127446
L,212,3,33,500,507.65,0.16,0.3,0.1286,Active,0.71,0.833192718404185
L,213,3,93,8000,8367.71,0.13,0.4,0.1287,Active,0.05,0.0569414191662311
L,214,3,43,8700,8867.1,0.19,0.2,0.121,Active,0.79,0.955307182149229
L,215,3,113,4100,4217.58,0.01,0.5,0.0657,Active,0.97,0.979748662071643
L,216,3,53,5300,5387.28,0.06,0.3,0.083,Active,0.8,0.849469237236288
L,217,3,153,4700,4979.76,0.08,0.4,0.1,Active,0.15,0.162493060151244
L,218,3,143,3800,4284.29,0.15,0.9,0.2294,Active,0.01,0.0116183424272828
L,219,3,143,300,339.72,0.19,0.7,0.2383,Active,0.78,0.943214686172656
L,220,3,33,7300,7486.67,0.19,0.6,0.2148,Active,0.07,0.0846474718360076
L,221,3,73,8800,9114.6,0.13,0.4,0.1287,Active,0.98,1.11605181565813
L,222,3,43,6500,6672.71,0.14,0.6,0.1674,Active,0.42,0.483114995520035
L,223,3,143,3900,4039.97,0.01,0.4,0.0646,Active,0.19,0.191909531745992
L,224,3,123,100,104.15,0.07,0.3,0.0871,Active,0.69,0.740030645065409
L,225,3,83,6800,6960.18,0.03,0.4,0.0742,Active,1,1.03045453395352
L,226,3,33,7300,7358.83,0.01,0.7,0.0677,Active,0.9,0.909045150375751
L,227,3,23,5200,5228.06,0.03,0.2,0.068,Active,0.9,0.927409080558165
L,228,3,33,3200,3248.99,0.16,0.3,0.1286,Active,0.05,0.0586755435495905
L,229,3,23,9500,9571.33,0.07,0.4,0.0946,Active,0.32,0.343202618001349
